,date,PM2.5,date_utc,url_date,temp
1383,2020-08-27 15:00:00,13.0,2020-08-27 08:00:00,2020/08/27/0800Z,32.7
1384,2020-08-27 16:00:00,16.0,2020-08-27 09:00:00,2020/08/27/0900Z,33.3
1385,2020-08-27 17:00:00,14.0,2020-08-27 10:00:00,2020/08/27/1000Z,33.3
1386,2020-08-27 18:00:00,23.0,2020-08-27 11:00:00,2020/08/27/1100Z,33.3
1387,2020-08-27 19:00:00,14.0,2020-08-27 12:00:00,2020/08/27/1200Z,30.5
1388,2020-08-27 20:00:00,25.0,2020-08-27 13:00:00,2020/08/27/1300Z,30.5
1389,2020-08-27 21:00:00,19.0,2020-08-27 14:00:00,2020/08/27/1400Z,30.5
1390,2020-08-27 22:00:00,25.0,2020-08-27 15:00:00,2020/08/27/1500Z,29.5
1391,2020-08-27 23:00:00,16.0,2020-08-27 16:00:00,2020/08/27/1600Z,29.5
1392,2020-08-28 00:00:00,12.0,2020-08-27 17:00:00,2020/08/27/1700Z,29.5
1393,2020-08-28 01:00:00,18.0,2020-08-27 18:00:00,2020/08/27/1800Z,29.4
1394,2020-08-28 02:00:00,16.0,2020-08-27 19:00:00,2020/08/27/1900Z,29.4
1395,2020-08-28 03:00:00,20.0,2020-08-27 20:00:00,2020/08/27/2000Z,29.4
1396,2020-08-28 04:00:00,22.0,2020-08-27 21:00:00,2020/08/27/2100Z,28.0
1397,2020-08-28 05:00:00,16.0,2020-08-27 22:00:00,2020/08/27/2200Z,28.0
1398,2020-08-28 06:00:00,20.0,2020-08-27 23:00:00,2020/08/27/2300Z,28.0
1399,2020-08-28 07:00:00,24.0,2020-08-28 00:00:00,2020/08/28/0000Z,27.5
1400,2020-08-28 08:00:00,24.0,2020-08-28 01:00:00,2020/08/28/0100Z,27.5
1401,2020-08-28 09:00:00,23.0,2020-08-28 02:00:00,2020/08/28/0200Z,27.5
1402,2020-08-28 10:00:00,24.0,2020-08-28 03:00:00,2020/08/28/0300Z,29.6
1403,2020-08-28 11:00:00,22.0,2020-08-28 04:00:00,2020/08/28/0400Z,29.6
1404,2020-08-28 12:00:00,26.0,2020-08-28 05:00:00,2020/08/28/0500Z,29.6
1405,2020-08-28 13:00:00,23.0,2020-08-28 06:00:00,2020/08/28/0600Z,32.8
1406,2020-08-28 14:00:00,24.0,2020-08-28 07:00:00,2020/08/28/0700Z,32.8
1407,2020-08-28 15:00:00,27.0,2020-08-28 08:00:00,2020/08/28/0800Z,32.8
1408,2020-08-28 16:00:00,21.0,2020-08-28 09:00:00,2020/08/28/0900Z,28.1
1409,2020-08-28 17:00:00,24.0,2020-08-28 10:00:00,2020/08/28/1000Z,28.1
1410,2020-08-28 18:00:00,11.0,2020-08-28 11:00:00,2020/08/28/1100Z,28.1
1411,2020-08-28 19:00:00,15.0,2020-08-28 12:00:00,2020/08/28/1200Z,26.8
1412,2020-08-28 20:00:00,16.0,2020-08-28 13:00:00,2020/08/28/1300Z,26.8
1413,2020-08-28 21:00:00,23.0,2020-08-28 14:00:00,2020/08/28/1400Z,26.8
1414,2020-08-28 22:00:00,24.0,2020-08-28 15:00:00,2020/08/28/1500Z,27.1
1415,2020-08-28 23:00:00,33.0,2020-08-28 16:00:00,2020/08/28/1600Z,27.1
1416,2020-08-29 00:00:00,22.0,2020-08-28 17:00:00,2020/08/28/1700Z,27.1
1417,2020-08-29 01:00:00,16.0,2020-08-28 18:00:00,2020/08/28/1800Z,27.2
1418,2020-08-29 02:00:00,12.0,2020-08-28 19:00:00,2020/08/28/1900Z,27.2
1419,2020-08-29 03:00:00,11.0,2020-08-28 20:00:00,2020/08/28/2000Z,27.2
1420,2020-08-29 04:00:00,11.0,2020-08-28 21:00:00,2020/08/28/2100Z,26.7
1421,2020-08-29 05:00:00,18.0,2020-08-28 22:00:00,2020/08/28/2200Z,26.7
1422,2020-08-29 06:00:00,13.0,2020-08-28 23:00:00,2020/08/28/2300Z,26.7
1423,2020-08-29 07:00:00,19.0,2020-08-29 00:00:00,2020/08/29/0000Z,27.5
1424,2020-08-29 08:00:00,21.0,2020-08-29 01:00:00,2020/08/29/0100Z,27.5
